path	classification	basis
.dockerignore	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.env.docker.example	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.env.example	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.gitattributes	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.github/FUNDING.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.github/workflows/browser-smoke.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.github/workflows/conversation-lifecycle.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.github/workflows/docker-smoke.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.github/workflows/docs-ci.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.github/workflows/native-windows-startup.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.github/workflows/release.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.github/workflows/tests.yml	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
.gitignore	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
AGENTS.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
ARCHITECTURE.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
BUGS.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
CHANGELOG.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
CONTRIBUTING.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
CONTRIBUTORS.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
DESIGN.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
Dockerfile	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
LICENSE	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
README.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
ROADMAP.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
SPRINTS.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
TESTING.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
THEMES.md	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/__init__.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/agent_compat.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/agent_health.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/agent_runtime.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/agent_sessions.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/auth.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/auth_oidc.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/background.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/background_process.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/clarify.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/commands.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/compression_anchor.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/compression_continuation.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/compression_recovery.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/config.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/crash_visibility.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/dashboard_probe.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/extension_sidecar_auth.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
api/extensions.py	external-migration/backup artifact: permission-only	blob identical to HEAD; only executable bit changed
